alpha,lambda,cvm,cvsd,thresh
0.75,0.00134754283736263,0.493572464356395,0.276452722446603,1e-04
0.75,0.00111663163329264,0.500088078352735,0.28189718865562,1e-04
0.75,0.000925288732868866,0.508022275738202,0.289927094570422,1e-04
0.75,0.000766733821295655,0.51908287012756,0.298441806892029,1e-04
0.75,0.000635348439719899,0.524086008778274,0.302236609716212,1e-04
0.75,0.000526476892818395,0.533144611540131,0.309650889782405,1e-04
0.75,0.000436261272308953,0.542011796407743,0.317201246920955,1e-04
0.75,0.000361504750375204,0.545802991615936,0.320246969611303,1e-04
0.75,0.000299558298751049,0.550555197011882,0.323359258616663,1e-04
0.75,0.000248226819308701,0.555342196067445,0.326615329981222,1e-04
0.75,0.000205691359848861,0.55923887215493,0.329873514979172,1e-04
0.75,0.000170444658777411,0.56322498867248,0.333296167484774,1e-04
0.75,0.000141237734667584,0.567504470392403,0.336941602711356,1e-04
0.75,0.000117035628086661,0.571838430561332,0.340478077299913,1e-04
0.75,9.69807273805206e-05,0.575815584665906,0.343787883457845,1e-04
0.75,8.03623788500588e-05,0.579308353575367,0.346916007630757,1e-04
0.75,6.65917044435114e-05,0.58295699874315,0.349814305598189,1e-04
0.75,5.51807346191909e-05,0.586697118405556,0.352520692526608,1e-04
0.75,4.57251169430048e-05,0.590182395515219,0.355175471160533,1e-04
0.75,3.78897876927562e-05,0.593571495378206,0.357675471988079,1e-04
0.75,3.13970987366008e-05,0.597014039983939,0.360191191748685,1e-04
0.75,2.60169789566892e-05,0.600551614552279,0.362764350361581,1e-04
0.75,2.15587815839729e-05,0.602472772669829,0.363768957323005,1e-04
